1, 3
2, 3
3, 3
4, 3
5, 3
6, 4
7, 4
8, 4
9, 4
10, 4
11, 14
12, 14
13, 14
14, 14
15, 14
16, 21
17, 21
18, 21
19, 21
20, 21
21, 22
22, 22
23, 22
24, 22
25, 22
26, 16
27, 16
28, 16
29, 16
30, 16
31, 2
32, 2
33, 2
34, 2
35, 2
36, 19
37, 19
38, 19
39, 19
40, 19
41, 12
42, 12
43, 12
44, 12
45, 12
46, 20
47, 20
48, 20
49, 20
50, 20
51, 18
52, 18
53, 18
54, 18
55, 18
56, 25
57, 25
58, 25
59, 25
60, 25
61, 9
62, 9
63, 9
64, 9
65, 9
66, 24
67, 24
68, 24
69, 24
70, 24
71, 7
72, 7
73, 7
74, 7
75, 7
76, 15
77, 15
78, 15
79, 15
80, 15
81, 23
82, 23
83, 23
84, 23
85, 23
86, 8
87, 8
88, 8
89, 8
90, 8
91, 13
92, 13
93, 13
94, 13
95, 13
96, 11
97, 11
98, 11
99, 11
100, 11
101, 5
102, 5
103, 5
104, 5
105, 5
106, 1
107, 1
108, 1
109, 1
110, 1
111, 17
112, 17
113, 17
114, 17
115, 17
116, 6
117, 6
118, 6
119, 6
120, 6
121, 10
122, 10
123, 10
124, 10
125, 10
