1, 12
2, 2
3, 4
4, 12
5, 3
6, 3
7, 11
8, 7
9, 8
10, 12
11, 10
12, 8
13, 1
14, 5
15, 12
16, 2
17, 9
18, 1
19, 2
20, 2
21, 6
22, 12
23, 5
24, 6
25, 5
26, 6
27, 5
28, 3
29, 9
30, 2
31, 4
32, 6
33, 6
34, 9
35, 1
36, 3
37, 8
38, 4
39, 5
40, 5
41, 1
42, 5
43, 7
44, 1
45, 8
46, 6
47, 11
48, 3
49, 10
50, 2
51, 3
52, 6
53, 4
54, 7
55, 9
56, 4
57, 3
58, 6
59, 12
60, 6
61, 7
62, 9
63, 9
64, 10
65, 7
66, 1
67, 5
68, 2
69, 4
70, 4
71, 12
72, 1
73, 4
74, 11
75, 7
76, 7
77, 5
78, 10
79, 7
80, 9
81, 10
82, 5
83, 7
84, 12
85, 8
86, 12
87, 5
88, 1
89, 3
90, 2
91, 7
92, 5
93, 1
94, 11
95, 8
96, 10
97, 9
98, 1
99, 8
100, 6
101, 4
102, 3
103, 2
104, 11
105, 6
106, 3
107, 3
108, 8
109, 12
110, 3
111, 3
112, 3
113, 6
114, 9
115, 7
